input_zip,route_class,fscskey,fscs_seq,distance_km,routing_basis,confidence_note
11765,ZCTA_NEAREST_ACTIVE_OUTLET,NY0358,002,2.736,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11766,ZCTA_NEAREST_ACTIVE_OUTLET,NY0680,002,3.336,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11767,EXACT_IMLS_OUTLET_ZIP,NY0689,005,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11768,EXACT_IMLS_OUTLET_ZIP,NY0677,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11769,ZCTA_NEAREST_ACTIVE_OUTLET,NY0647,002,2.811,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11770,ZCTA_NEAREST_ACTIVE_OUTLET,NY0663,002,9.894,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11771,EXACT_IMLS_OUTLET_ZIP,NY0371,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11772,EXACT_IMLS_OUTLET_ZIP,NY0678,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11776,EXACT_IMLS_OUTLET_ZIP,NY0680,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11777,EXACT_IMLS_OUTLET_ZIP,NY0679,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11778,ZCTA_NEAREST_ACTIVE_OUTLET,NY0688,002,5.908,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11779,ZCTA_NEAREST_ACTIVE_OUTLET,NY0668,002,3.182,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
